"","ligand","receptor","species"
"1539","EFNA1","EPHA6","Human"
"1540","EFNA3","EPHB6","Human"
"1541","EFNA3","EPHA7","Human"
"1542","EFNA3","EPHA10","Human"
"1543","EFNA3","EPHA5","Human"
"1544","EFNA3","EPHB1","Human"
"1545","EFNA3","EPHA6","Human"
"1546","ADAM12","ITGB1","Human"
"1547","ADAM12","SDC4","Human"
"1548","S100A8","ITGB2","Human"
"1549","S100A8","TLR4","Human"
"1550","S100A8","CD36","Human"
"1551","S100A8","AGER","Human"
"1552","S100A12","TLR4","Human"
"1553","S100A12","CD36","Human"
"1554","S100A9","ITGB2","Human"
"1555","S100A9","TLR4","Human"
"1556","S100A9","CD36","Human"
"1557","S100A9","AGER","Human"
"1558","NGF","NTRK1","Human"
"1559","NGF","SORCS2","Human"
"1560","NGF","TRPV1","Human"
"1561","NGF","MAGED1","Human"
"1562","NGF","BEX3","Human"
"1563","NGF","SORCS3","Human"
"1564","WNT2B","FZD4","Human"
"1565","L1CAM","FGFR2","Human"
"1566","L1CAM","EPHB2","Human"
"1567","L1CAM","CNTN1","Human"
"1568","COL11A1","ITGB1","Human"
"1569","COL11A1","DDR1","Human"
"1570","CD40LG","ITGAM","Human"
"1571","CD40LG","CD40","Human"
"1572","CD40LG","ITGB2","Human"
"1573","CD40LG","TRAF3","Human"
"1574","BMP5","BMPR2","Human"
"1575","BMP5","BMPR1A","Human"
"1576","BMP5","BMPR1B","Human"
"1577","ITGB3BP","ITGB3","Human"
"1578","GNAS","CRHR1","Human"
"1579","GNAS","GLP1R","Human"
"1580","GNAS","GCGR","Human"
"1581","GNAS","ADCY7","Human"
"1582","GNAS","TSHR","Human"
"1583","ANGPTL3","ITGB3","Human"
"1584","RBP4","STRA6","Human"
"1585","COL5A1","ITGB1","Human"
"1586","CEL","CXCR4","Human"
"1587","SFTPD","SIRPA","Human"
"1588","SFTPD","TLR4","Human"
"1589","MMP9","ITGAM","Human"
"1590","MMP9","RECK","Human"
"1591","MMP9","CD44","Human"
"1592","MMP9","ITGB2","Human"
"1593","MMP9","EPHB2","Human"
"1594","EDN2","EDNRB","Human"
"1595","SPTAN1","PTPRA","Human"
"1596","COL9A2","ITGB1","Human"
"1597","COL9A2","MAG","Human"
"1598","PLAU","ITGAM","Human"
"1599","PLAU","VLDLR","Human"
"1600","PLAU","ITGB1","Human"
"1601","PLAU","ITGB2","Human"
"1602","BMP8B","BMPR2","Human"
"1603","BMP8B","BMPR1B","Human"
"1604","ANGPTL2","LILRB2","Human"
"1605","GHRH","ADCYAP1R1","Human"
"1606","GHRH","GPR20","Human"
"1607","GHRH","TSHR","Human"
"1608","GHRH","GPR84","Human"
"1609","COL16A1","ITGB1","Human"
"1610","TNFSF15","TNFRSF25","Human"
"1611","GDF5","ROR2","Human"
"1612","GDF5","BMPR2","Human"
"1613","GDF5","BMPR1B","Human"
"1614","EDA","EDA2R","Human"
"1615","HSPG2","SDC1","Human"
"1616","HSPG2","ITGB1","Human"
"1617","HSPG2","COL13A1","Human"
"1618","HSPG2","FGFR1","Human"
"1619","COL5A2","ITGB1","Human"
"1620","COL5A2","DDR1","Human"
"1621","F10","ITGAM","Human"
"1622","F10","ITGB2","Human"
"1623","SYK","LAT","Human"
"1624","COL4A1","ITGB1","Human"
"1625","FGF14","FGFR2","Human"
"1626","FGF14","FGFR1","Human"
"1627","HLA-C","LILRB2","Human"
"1628","HLA-C","CD3G","Human"
"1629","HLA-C","KIR3DL1","Human"
"1630","HLA-E","KLRC2","Human"
"1631","HLA-E","KLRD1","Human"
"1632","HLA-E","KIR3DL1","Human"
"1633","HLA-E","KLRC1","Human"
"1634","ANXA1","FPR2","Human"
"1635","ANXA1","FPR1","Human"
"1636","ANXA1","DYSF","Human"
"1637","IL31","IL31RA","Human"
"1638","CORT","SSTR3","Human"
"1639","ACTR2","LDLR","Human"
"1640","NDP","FZD4","Human"
"1641","NDP","LGR4","Human"
"1642","CCL7","CCR3","Human"
"1643","CCL7","ACKR2","Human"
"1644","GDF9","BMPR1B","Human"
"1645","BMP2","BMPR1B","Human"
"1646","AGRN","ITGB1","Human"
"1647","AGRN","ATP1A3","Human"
"1648","INSL3","ADCYAP1R1","Human"
"1649","INSL3","TSHR","Human"
"1650","INSL3","GPR84","Human"
"1651","INSL3","RXFP1","Human"
"1652","AVP","ADCYAP1R1","Human"
"1653","AVP","LDLR","Human"
"1654","AVP","GPR84","Human"
"1655","AVP","TSHR","Human"
"1656","UCN3","CRHR1","Human"
"1657","SHBG","CLDN4","Human"
"1658","COL2A1","ITGB1","Human"
"1659","COL2A1","MAG","Human"
"1660","COL2A1","DDR1","Human"
"1661","RLN2","ADCYAP1R1","Human"
"1662","RLN2","TSHR","Human"
"1663","RLN2","GPR84","Human"
"1664","RLN2","RXFP1","Human"
"1665","ZG16B","TLR5","Human"
"1666","ZG16B","CXCR4","Human"
"1667","FGF9","FGFR2","Human"
"1668","FGF9","FGFR1","Human"
"1669","SEMA5A","PLXNB3","Human"
"1670","RPH3A","NRXN1","Human"
"1671","LAMA1","ITGA6","Human"
"1672","LAMA1","ITGA7","Human"
"1673","LAMA1","ITGB1","Human"
"1674","CCL25","ACKR2","Human"
"1675","LAMB3","CD151","Human"
"1676","LAMB3","ITGB1","Human"
"1677","LAMB3","ITGA6","Human"
"1678","AFDN","EPHB6","Human"
"1679","AFDN","NRXN3","Human"
"1680","AFDN","NECTIN3","Human"
"1681","CSH2","PRLR","Human"
"1682","IL1F10","IL1R1","Human"
"1683","CCL8","CCR3","Human"
"1684","CCL8","ACKR2","Human"
"1685","COL4A6","ITGB1","Human"
"1686","CCL26","CCR3","Human"
"1687","SPP1","ITGA4","Human"
"1688","SPP1","CD44","Human"
"1689","SPP1","ITGB1","Human"
"1690","SPP1","ITGB3","Human"
"1691","LGALS9","CD44","Human"
"1692","LGALS9","SLC1A5","Human"
"1693","ADM2","ADCYAP1R1","Human"
"1694","ADM2","CALCRL","Human"
"1695","ADM2","TSHR","Human"
"1696","ADM2","GPR84","Human"
"1697","CXCL12","ITGB1","Human"
"1698","CXCL12","CXCR4","Human"
"1699","BMP7","BMPR1B","Human"
"1700","COL4A3","ITGB3","Human"
"1701","COL4A4","ITGB3","Human"
"1702","HLA-A","CD3G","Human"
"1703","CNTN4","PTPRG","Human"
"1704","TCTN1","TMEM67","Human"
"1705","PDCD1LG2","PDCD2","Human"
"1706","NPS","ADCYAP1R1","Human"
"1707","NPS","GPR84","Human"
"1708","NPS","TSHR","Human"
"1709","TNFSF11","TNFRSF11A","Human"
"1710","DSCAM","DCC","Human"
"1711","POMC","ADCYAP1R1","Human"
"1712","POMC","OPRM1","Human"
"1713","POMC","MC1R","Human"
"1714","POMC","GPR84","Human"
"1715","POMC","TSHR","Human"
"1716","FBLN2","ITGB3","Human"
"1717","NPY","NPY5R","Human"
"1718","NXPH1","NRXN1","Human"
"1719","NXPH1","NRXN3","Human"
"1720","SAA1","FPR2","Human"
"1721","SAA1","FPR1","Human"
"1722","MDK","ITGA6","Human"
"1723","TF","LDLR","Human"
"1724","TF","TFR2","Human"
"1725","TF","HFE","Human"
"1726","ARTN","GFRA2","Human"
"1727","GCG","ADCYAP1R1","Human"
"1728","GCG","GPR84","Human"
"1729","GCG","TSHR","Human"
"1730","ADIPOQ","GPR42","Human"
"1731","PTPN6","CD300LF","Human"
"1732","APLN","APLNR","Human"
"1733","NLGN1","NRXN3","Human"
"1734","CLEC2A","KLRF2","Human"
"1735","C4A","C5AR2","Human"
"1736","NTF3","NTRK1","Human"
"1737","RLN3","ADCYAP1R1","Human"
"1738","RLN3","TSHR","Human"
"1739","RLN3","GPR84","Human"
"1740","RLN3","RXFP1","Human"
"1741","TNF","FFAR2","Human"
"1742","CCN1","ITGAM","Human"
"1743","CCN1","ITGB3","Human"
"1744","HLA-B","CD3G","Human"
"1745","FGF16","FGFR2","Human"
"1746","LAMA2","ITGA7","Human"
"1747","CCL24","CCR3","Human"
"1748","CCL24","ACKR2","Human"
"1749","HRAS","AGTR1","Human"
"1750","GDNF","GFRA2","Human"
"1751","HLA-G","KLRC1","Human"
"1752","EFNA4","EPHA5","Human"
"1753","ICAM2","ITGAM","Human"
"1754","FSHB","ADCYAP1R1","Human"
"1755","FSHB","TSHR","Human"
"1756","FSHB","GPR84","Human"
"1757","RARRES2","CMKLR2","Human"
"1758","LRPAP1","LDLR","Human"
"1759","C1QTNF5","MFRP","Human"
"1760","HSPA8","LDLR","Human"
"1761","CALCB","ADCYAP1R1","Human"
"1762","CALCB","TSHR","Human"
"1763","CALCB","GPR84","Human"
"1764","ADM","ADCYAP1R1","Human"
"1765","ADM","TSHR","Human"
"1766","ADM","GPR84","Human"
"1767","PTHLH","ADCYAP1R1","Human"
"1768","PTHLH","GPR84","Human"
"1769","ADCYAP1","ADCYAP1R1","Human"
"1770","CGA","ADCYAP1R1","Human"
"1771","S100A10","CFTR","Human"
"1772","SHANK2","CFTR","Human"
"1773","HSP90AA1","CFTR","Human"
"1774","PLAU","ITGA3","Human"
"1775","LAMA3","ITGA3","Human"
"1776","LAMA4","ITGA3","Human"
"1777","LAMA2","ITGA3","Human"
"1778","LAMA1","ITGA3","Human"
"1779","LGALS8","ITGA3","Human"
"1780","NID1","ITGA3","Human"
"1781","LAMC3","ITGA3","Human"
"1782","THBS1","ITGA3","Human"
"1783","CALR","ITGA3","Human"
"1784","TIMP2","ITGA3","Human"
"1785","RELN","ITGA3","Human"
"1786","LAMB2","ITGA3","Human"
"1787","COL4A3","ITGA3","Human"
"1788","LAMA5","ITGA3","Human"
"1789","ADAM9","ITGA3","Human"
"1790","LAMC1","ITGA3","Human"
"1791","LAMB3","ITGA3","Human"
"1792","COL18A1","ITGA3","Human"
"1793","VTN","ITGA3","Human"
"1794","LAMB1","ITGA3","Human"
"1795","LAMC2","ITGA3","Human"
"1796","FN1","ITGA3","Human"
"1797","S100A4","PGLYRP1","Human"
"1798","MIF","CD74","Human"
"1799","APP","CD74","Human"
"1800","HLA-G","CD4","Human"
"1801","CXCL12","CD4","Human"
"1802","SLPI","CD4","Human"
"1803","PIP","CD4","Human"
"1804","IL16","CD4","Human"
"1805","CPAMD8","SCTR","Human"
"1806","ADCYAP1","SCTR","Human"
"1807","VIP","SCTR","Human"
"1808","SCT","SCTR","Human"
"1809","CALM1","SCTR","Human"
"1810","RTN4","RTN4R","Human"
"1811","OMG","RTN4R","Human"
"1812","TNFSF13","TNFRSF17","Human"
"1813","TNFSF13B","TNFRSF17","Human"
"1814","CD70","TNFRSF17","Human"
"1815","ST6GAL1","CD22","Human"
"1816","HP","CD22","Human"
"1817","CALM2","KCNQ1","Human"
"1818","CALML3","KCNQ1","Human"
"1819","CALM1","KCNQ1","Human"
"1820","CALM3","KCNQ1","Human"
"1821","FASLG","TNFRSF1A","Human"
"1822","LTA","TNFRSF1A","Human"
"1823","TNF","TNFRSF1A","Human"
"1824","TNFSF13","TNFRSF1A","Human"
"1825","LTB","TNFRSF1A","Human"
"1826","EFNA3","EPHA8","Human"
"1827","EFNA1","EPHA8","Human"
"1828","EFNA2","EPHA8","Human"
"1829","EFNA5","EPHA8","Human"
"1830","EFNA4","EPHA8","Human"
"1831","IL2","NGFR","Human"
"1832","RTN4","NGFR","Human"
"1833","NTF4","NGFR","Human"
"1834","NTF3","NGFR","Human"
"1835","OMG","NGFR","Human"
"1836","APP","NGFR","Human"
"1837","BDNF","NGFR","Human"
"1838","NGF","NGFR","Human"
"1839","NTS","NGFR","Human"
"1840","BDNF","DRD4","Human"
"1841","PYY","FAP","Human"
"1842","NPY","FAP","Human"
"1843","CD99","PILRA","Human"
"1844","LAMA3","ITGB4","Human"
"1845","LAMA2","ITGB4","Human"
"1846","LAMC3","ITGB4","Human"
"1847","LAMB2","ITGB4","Human"
"1848","LAMA5","ITGB4","Human"
"1849","LAMC1","ITGB4","Human"
"1850","LAMA1","ITGB4","Human"
"1851","LAMB3","ITGB4","Human"
"1852","LAMB1","ITGB4","Human"
"1853","LAMC2","ITGB4","Human"
"1854","TGFB1","TGFBR3","Human"
"1855","FGF1","TGFBR3","Human"
"1856","TGFB3","TGFBR3","Human"
"1857","INHA","TGFBR3","Human"
"1858","TGFB2","TGFBR3","Human"
"1859","INHBA","TGFBR3","Human"
"1860","IL2","IL2RB","Human"
"1861","IL15","IL2RB","Human"
"1862","KNG1","BDKRB1","Human"
"1863","PROC","PROCR","Human"
"1864","PF4","PROCR","Human"
"1865","PROK2","PROKR2","Human"
"1866","PROK1","PROKR2","Human"
"1867","FAM3C","GLRA2","Human"
"1868","IL16","KCND1","Human"
"1869","GHRL","MLNR","Human"
"1870","MLN","MLNR","Human"
"1871","TNFSF10","TNFRSF10A","Human"
"1872","COL2A1","TNFRSF10A","Human"
"1873","RIMS1","SLC17A7","Human"
"1874","APP","APLP1","Human"
"1875","BTLA","CD79A","Human"
"1876","CXCL8","CD79A","Human"
"1877","FN1","CD79A","Human"
"1878","KLK3","EPOR","Human"
"1879","KITLG","EPOR","Human"
"1880","EPO","EPOR","Human"
"1881","LAMA1","ITGB8","Human"
"1882","VTN","ITGB8","Human"
"1883","COL4A1","ITGB8","Human"
"1884","FN1","ITGB8","Human"
"1885","APP","TSPAN12","Human"
"1886","ADAM10","TSPAN12","Human"
"1887","PLG","PLGRKT","Human"
"1888","C1QB","C1QBP","Human"
"1889","GNRH2","GNRHR","Human"
"1890","GNRH1","GNRHR","Human"
"1891","HBEGF","CD82","Human"
"1892","IL22","IL10RA","Human"
"1893","IL10","IL10RA","Human"
"1894","S100A8","CD69","Human"
"1895","TNFSF14","LTBR","Human"
"1896","LTA","LTBR","Human"
"1897","LTB","LTBR","Human"
"1898","WNT7B","FZD10","Human"
"1899","WNT7A","FZD10","Human"
"1900","CLEC2D","KLRB1","Human"
"1901","IL33","IL1RL1","Human"
"1902","KISS1","KISS1R","Human"
"1903","PDYN","OPRD1","Human"
"1904","GNAI2","OPRD1","Human"
"1905","POMC","OPRD1","Human"
"1906","CXCL13","OPRD1","Human"
"1907","PENK","OPRD1","Human"
"1908","CALM2","SELL","Human"
"1909","PODXL2","SELL","Human"
"1910","VCAN","SELL","Human"
"1911","CD34","SELL","Human"
"1912","MUC7","SELL","Human"
"1913","CALM1","SELL","Human"
"1914","PODXL","SELL","Human"
"1915","CALM3","SELL","Human"
"1916","CFH","SELL","Human"
"1917","NPY","PRLHR","Human"
"1918","HLA-E","KLRK1","Human"
"1919","MICB","KLRK1","Human"
"1920","MICA","KLRK1","Human"
"1921","RAET1L","KLRK1","Human"
"1922","ULBP2","KLRK1","Human"
"1923","ULBP3","KLRK1","Human"
"1924","RAET1E","KLRK1","Human"
"1925","RAET1G","KLRK1","Human"
"1926","GHRL","GHSR","Human"
"1927","CORT","GHSR","Human"
"1928","INHBC","ACVR2A","Human"
"1929","GDF9","ACVR2A","Human"
"1930","BMP7","ACVR2A","Human"
"1931","CFC1","ACVR2A","Human"
"1932","NODAL","ACVR2A","Human"
"1933","BMP15","ACVR2A","Human"
"1934","BMP10","ACVR2A","Human"
"1935","GDF7","ACVR2A","Human"
"1936","LEFTY1","ACVR2A","Human"
"1937","INHA","ACVR2A","Human"
"1938","INHBA","ACVR2A","Human"
"1939","GDF1","ACVR2A","Human"
"1940","INHBB","ACVR2A","Human"
"1941","INHBE","ACVR2A","Human"
"1942","LEFTY2","ACVR2A","Human"
"1943","GDF2","ACVR2A","Human"
"1944","TDGF1","ACVR2A","Human"
"1945","BMP2","ACVR2A","Human"
"1946","BMP6","ACVR2A","Human"
"1947","GDF11","ACVR2A","Human"
"1948","GDF5","ACVR2A","Human"
"1949","FLT3LG","FLT3","Human"
"1950","ADCYAP1","RAMP3","Human"
"1951","GHRH","RAMP3","Human"
"1952","CALCA","RAMP3","Human"
"1953","ADM","RAMP3","Human"
"1954","CGA","RAMP3","Human"
"1955","GCG","RAMP3","Human"
"1956","TSHB","RAMP3","Human"
"1957","PTH2","RAMP3","Human"
"1958","AVP","RAMP3","Human"
"1959","VIP","RAMP3","Human"
"1960","PTH","RAMP3","Human"
"1961","ADM2","RAMP3","Human"
"1962","PTHLH","RAMP3","Human"
"1963","NPS","RAMP3","Human"
"1964","FSHB","RAMP3","Human"
"1965","POMC","RAMP3","Human"
"1966","RLN2","RAMP3","Human"
"1967","CALCB","RAMP3","Human"
"1968","RLN3","RAMP3","Human"
"1969","GIP","RAMP3","Human"
"1970","CRH","RAMP3","Human"
"1971","INSL3","RAMP3","Human"
"1972","CD55","ADGRE5","Human"
"1973","CALM2","PDE1B","Human"
"1974","CALM1","PDE1B","Human"
"1975","CALM3","PDE1B","Human"
"1976","APOA2","LRP1","Human"
"1977","AGRN","LRP1","Human"
"1978","GPC3","LRP1","Human"
"1979","PDGFB","LRP1","Human"
"1980","A2M","LRP1","Human"
"1981","APOC2","LRP1","Human"
"1982","SERPINA1","LRP1","Human"
"1983","SERPINE2","LRP1","Human"
"1984","HSPG2","LRP1","Human"
"1985","MMP13","LRP1","Human"
"1986","APOE","LRP1","Human"
"1987","PCSK9","LRP1","Human"
"1988","MMP9","LRP1","Human"
"1989","HSP90B1","LRP1","Human"
"1990","MDK","LRP1","Human"
"1991","PLAU","LRP1","Human"
"1992","LRPAP1","LRP1","Human"
"1993","C3","LRP1","Human"
"1994","FCN2","LRP1","Human"
"1995","THBS1","LRP1","Human"
"1996","HSP90AA1","LRP1","Human"
"1997","APOA4","LRP1","Human"
"1998","CALR","LRP1","Human"
"1999","C1QB","LRP1","Human"
"2000","C4BPA","LRP1","Human"
"2001","VWF","LRP1","Human"
"2002","F8","LRP1","Human"
"2003","CCN2","LRP1","Human"
"2004","HPX","LRP1","Human"
"2005","APP","LRP1","Human"
"2006","LPL","LRP1","Human"
"2007","LIPC","LRP1","Human"
"2008","PF4","LRP1","Human"
"2009","PSAP","LRP1","Human"
"2010","WNT3A","LRP1","Human"
"2011","NODAL","ACVR1C","Human"
"2012","INHBB","ACVR1C","Human"
"2013","TDGF1","ACVR1C","Human"
"2014","POMC","MC3R","Human"
"2015","ASIP","MC3R","Human"
"2016","AGRP","MC3R","Human"
"2017","IL9","IL9R","Human"
"2018","APP","PTGER2","Human"
"2019","F12","CD93","Human"
"2020","COL4A3","CD93","Human"
"2021","COL4A6","CD93","Human"
"2022","COL4A5","CD93","Human"
"2023","KNG1","CD93","Human"
"2024","SFTPA2","CD93","Human"
"2025","COL4A2","CD93","Human"
"2026","COL4A4","CD93","Human"
"2027","MBL2","CD93","Human"
"2028","COL1A2","CD93","Human"
"2029","COL4A1","CD93","Human"
"2030","C1QA","CD93","Human"
"2031","GNAI2","S1PR4","Human"
"2032","KISS1","MMP24","Human"
"2033","IGFL2","IGFLR1","Human"
"2034","IGFL1","IGFLR1","Human"
"2035","IGFL3","IGFLR1","Human"
"2036","CCL21","CCR7","Human"
"2037","CCL19","CCR7","Human"
"2038","HLA-B","CANX","Human"
"2039","TNFSF4","TRAF2","Human"
"2040","TNF","TRAF2","Human"
"2041","FADD","TRAF2","Human"
"2042","GSTP1","TRAF2","Human"
"2043","F2","F2RL3","Human"
"2044","PMCH","MCHR1","Human"
"2045","GAL","GALR3","Human"
"2046","GALP","GALR3","Human"
"2047","NTNG2","LRRC4","Human"
"2048","WNT4","SMO","Human"
"2049","BMP2","SMO","Human"
"2050","SHH","SMO","Human"
"2051","CCL5","ACKR4","Human"
"2052","CCL11","ACKR4","Human"
"2053","CCL21","ACKR4","Human"
"2054","CCL25","ACKR4","Human"
"2055","CCL7","ACKR4","Human"
"2056","CXCL13","ACKR4","Human"
"2057","CCL19","ACKR4","Human"
"2058","CCL8","ACKR4","Human"
"2059","S100A9","CD68","Human"
"2060","S100A8","CD68","Human"
"2061","PDGFB","ART1","Human"
"2062","HLA-A","LILRA1","Human"
"2063","HLA-C","LILRA1","Human"
"2064","HLA-B","LILRA1","Human"
"2065","AFDN","NECTIN2","Human"
"2066","AGT","MAS1","Human"
"2067","ADCYAP1","RAMP2","Human"
"2068","GHRH","RAMP2","Human"
"2069","CALCA","RAMP2","Human"
"2070","ADM","RAMP2","Human"
"2071","CGA","RAMP2","Human"
"2072","GCG","RAMP2","Human"
"2073","TSHB","RAMP2","Human"
"2074","PTH2","RAMP2","Human"
"2075","AVP","RAMP2","Human"
"2076","VIP","RAMP2","Human"
"2077","PTH","RAMP2","Human"
"2078","ADM2","RAMP2","Human"
"2079","PTHLH","RAMP2","Human"
"2080","NPS","RAMP2","Human"
"2081","FSHB","RAMP2","Human"
"2082","POMC","RAMP2","Human"
"2083","RLN2","RAMP2","Human"
"2084","CALCB","RAMP2","Human"
"2085","RLN3","RAMP2","Human"
"2086","GIP","RAMP2","Human"
"2087","CRH","RAMP2","Human"
"2088","INSL3","RAMP2","Human"
"2089","CALCA","RAMP1","Human"
"2090","ADM","RAMP1","Human"
"2091","VIP","RAMP1","Human"
"2092","ADM2","RAMP1","Human"
"2093","CALCB","RAMP1","Human"
"2094","GUCA2B","GUCY2D","Human"
"2095","CLEC3A","CLEC10A","Human"
"2096","SST","SSTR4","Human"
"2097","CORT","SSTR4","Human"
"2098","NMS","NMUR2","Human"
"2099","NMU","NMUR2","Human"
"2100","ARF1","CHRM3","Human"
"2101","VEGFC","LYVE1","Human"
"2102","PCSK9","SORT1","Human"
"2103","NGF","SORT1","Human"
"2104","LRPAP1","SORT1","Human"
"2105","BDNF","SORT1","Human"
"2106","PSAP","SORT1","Human"
"2107","DLK1","NOTCH2","Human"
"2108","DLL1","NOTCH2","Human"
"2109","MFNG","NOTCH2","Human"
"2110","PSEN1","NOTCH2","Human"
"2111","ADAM10","NOTCH2","Human"
"2112","APP","NOTCH2","Human"
"2113","JAG2","NOTCH2","Human"
"2114","NGF","KIDINS220","Human"
"2115","HDC","HRH4","Human"
"2116","CCL16","HRH4","Human"
"2117","GNAI2","MTNR1B","Human"
"2118","DSC3","DSG3","Human"
"2119","DSC1","DSG3","Human"
"2120","DSC3","DSG1","Human"
"2121","DSC2","DSG1","Human"
"2122","DSC1","DSG1","Human"
"2123","PDGFC","PDGFRA","Human"
"2124","PDGFB","PDGFRA","Human"
"2125","PDGFD","PDGFRA","Human"
"2126","PDGFA","PDGFRA","Human"
"2127","FGF19","KLB","Human"
"2128","FGF21","KLB","Human"
"2129","LAMA1","NT5E","Human"
"2130","FN1","NT5E","Human"
"2131","CALM1","MIP","Human"
"2132","NMB","NMBR","Human"
"2133","EDA","EDAR","Human"
"2134","SEMA7A","PLXNC1","Human"
"2135","LTA","RIPK1","Human"
"2136","TNF","RIPK1","Human"
"2137","CD14","RIPK1","Human"
"2138","CALR","HLA-F","Human"
"2139","B2M","HLA-F","Human"
"2140","HMGB1","TLR2","Human"
"2141","CCN1","TLR2","Human"
"2142","HSP90B1","TLR2","Human"
"2143","BGN","TLR2","Human"
"2144","SAA1","TLR2","Human"
"2145","VCAN","TLR2","Human"
"2146","ZG16B","TLR2","Human"
"2147","HRAS","TLR2","Human"
"2148","SFTPA1","TLR2","Human"
"2149","RNASE2","TLR2","Human"
"2150","CCN6","SORL1","Human"
"2151","MDK","SORL1","Human"
"2152","LRPAP1","SORL1","Human"
"2153","APP","SORL1","Human"
"2154","L1CAM","ITGAV","Human"
"2155","TNC","ITGAV","Human"
"2156","PLAU","ITGAV","Human"
"2157","EDIL3","ITGAV","Human"
"2158","COL4A6","ITGAV","Human"
"2159","COL4A5","ITGAV","Human"
"2160","SPP1","ITGAV","Human"
"2161","NID1","ITGAV","Human"
"2162","PDGFB","ITGAV","Human"
"2163","ICAM4","ITGAV","Human"
"2164","COL4A4","ITGAV","Human"
"2165","CALR","ITGAV","Human"
"2166","CCN1","ITGAV","Human"
"2167","FGG","ITGAV","Human"
"2168","FGA","ITGAV","Human"
"2169","COL4A3","ITGAV","Human"
"2170","MFGE8","ITGAV","Human"
"2171","FGB","ITGAV","Human"
"2172","FBN1","ITGAV","Human"
"2173","AZGP1","ITGAV","Human"
"2174","ADAM9","ITGAV","Human"
"2175","VEGFA","ITGAV","Human"
"2176","ADAM15","ITGAV","Human"
"2177","COL1A2","ITGAV","Human"
"2178","ANGPTL3","ITGAV","Human"
"2179","COL4A1","ITGAV","Human"
"2180","FN1","ITGAV","Human"
"2181","CP","SLC40A1","Human"
"2182","GUCA2B","GUCY2C","Human"
"2183","GUCA2A","GUCY2C","Human"
"2184","SOSTDC1","LRP6","Human"
"2185","IGFBP4","LRP6","Human"
"2186","RSPO1","LRP6","Human"
"2187","PTH","LRP6","Human"
"2188","WNT1","LRP6","Human"
"2189","RSPO3","LRP6","Human"
"2190","WNT2","LRP6","Human"
"2191","WNT9B","LRP6","Human"
"2192","CCN2","LRP6","Human"
"2193","SOST","LRP6","Human"
"2194","APP","LRP6","Human"
"2195","CKLF","LRP6","Human"
"2196","WNT5A","LRP6","Human"
"2197","DKK1","LRP6","Human"
"2198","WNT7A","LRP6","Human"
"2199","DKK2","LRP6","Human"
"2200","WNT3A","LRP6","Human"
"2201","DSC3","DSG2","Human"
"2202","DSC2","DSG2","Human"
"2203","TNFSF13B","TNFRSF13B","Human"
"2204","TNFSF13","TNFRSF13B","Human"
"2205","SAA1","SCARB1","Human"
"2206","PDGFC","PDGFRB","Human"
"2207","PDGFB","PDGFRB","Human"
"2208","PDGFD","PDGFRB","Human"
"2209","MFGE8","PDGFRB","Human"
"2210","PDGFA","PDGFRB","Human"
"2211","PDGFC","FLT4","Human"
"2212","VEGFC","FLT4","Human"
"2213","TNF","FLT4","Human"
"2214","VEGFD","FLT4","Human"
"2215","COL1A2","FLT4","Human"
"2216","FN1","FLT4","Human"
"2217","ADCYAP1","VIPR2","Human"
"2218","VIP","VIPR2","Human"
"2219","LGALS3BP","CD33","Human"
"2220","IL12A","IL12RB2","Human"
"2221","ASIP","MGRN1","Human"
"2222","F2","ITGA2B","Human"
"2223","ICAM4","ITGA2B","Human"
"2224","CALR","ITGA2B","Human"
"2225","FGG","ITGA2B","Human"
"2226","FGA","ITGA2B","Human"
"2227","COL2A1","ITGA2B","Human"
"2228","FGB","ITGA2B","Human"
"2229","COL1A2","ITGA2B","Human"
"2230","FN1","ITGA2B","Human"
"2231","GCG","GLP2R","Human"
"2232","CALM1","GLP2R","Human"
"2233","SEMA6D","TYROBP","Human"
"2234","CALM2","TRPC5","Human"
"2235","CALM1","TRPC5","Human"
"2236","CALM3","TRPC5","Human"
"2237","CALM1","KCNN4","Human"
"2238","ASIP","ATRN","Human"
"2239","CALR","SCARF1","Human"
"2240","ARF1","PLD2","Human"
"2241","EGF","PLD2","Human"
"2242","CRISP3","A1BG","Human"
"2243","HRAS","GRIN2D","Human"
"2244","IL16","GRIN2D","Human"
"2245","HSPA1A","GRIN2D","Human"
"2246","IL27","IL27RA","Human"
"2247","DLK1","NOTCH3","Human"
"2248","DLL1","NOTCH3","Human"
"2249","PSEN1","NOTCH3","Human"
"2250","THBS2","NOTCH3","Human"
"2251","SCGB3A1","NOTCH3","Human"
"2252","JAG2","NOTCH3","Human"
"2253","CTF1","LIFR","Human"
"2254","CLCF1","LIFR","Human"
"2255","CNTF","LIFR","Human"
"2256","APP","APLP2","Human"
"2257","HLA-A","APLP2","Human"
"2258","PCSK9","APLP2","Human"
"2259","INHBC","ACVR1","Human"
"2260","BMP7","ACVR1","Human"
"2261","INHBB","ACVR1","Human"
"2262","GDF2","ACVR1","Human"
"2263","BMP2","ACVR1","Human"
"2264","BMP6","ACVR1","Human"
"2265","GDF5","ACVR1","Human"
"2266","TGFB2","ACVR1","Human"
"2267","GPC3","CD81","Human"
"2268","CD99","CD81","Human"
"2269","VCAN","SELP","Human"
"2270","CD34","SELP","Human"
"2271","SERPING1","SELP","Human"
"2272","CD24","SELP","Human"
"2273","GAS6","TYRO3","Human"
"2274","PROS1","TYRO3","Human"
